Title,Description,Days,Platform,City,State,Job_type
"Consultant, Business Analyst (4.5-6 years) with skills Business...","ROLES & RESPONSIBILITIES &ampampamp#34Perform analysis on technology projects of various complexities Write product requirement documents with detailed functional requirements for multiple technology projects . Clarify requirements, answer questions, and conduct additional research related to product requirement documentation . Analyze business value of technology projects and present findings to stakeholders . Assist the Product Management team with product requirement definition and documentation . Develop requirements documents that define product enhancements and development initiatives . Participate in product design activities, wireframes, flow charting, and mockups that generate user friendly solutions that provide clear end-user benefits and differentiation from competitor products . Work in conjunction with a team of Product Managers, Web Developers, Test Case Writers, Quality Assurance Analysts, Project Managers, Copywriters, UX Designers, and Business Units to develop new... products and to provide ongoing management for existing products . Assess stakeholder needs, technology trends, and major competitors in order to synthe product and technical requirements&ampampamp#34",4, Www.foundit.in,Pune, Maharashtra,Full-time
IT Business Analyst Manufacturing & Quality,"Summary of Position :

Alcon is looking to hire to Develop system designs that adhere to high level conceptual design and are traceable to functional and non-functional requirements in projects/enhancements and ensure adherence to architectural roadmap and support the development, execution and operations of solutions and Deliver design solutions in line with system design standards which are global and scalable following a global template philosophy (Core/Template).

Key Responsibilities :

Essential Job Functions
• Create Functional specification designs meet requirements outlined in the architecture handbook
• Ensure that project/enhancements work is delivered to agreed time, cost and quality constraints following the release calendars
• Perform scoping, fit-gap workshops for projects/enhancements, proposes solutions for key gaps, provide effort estimations and align with business teams
• Follow standardized design, development and testing processes to enable cost effective... delivery
• System Operations:
• Batch jobs & idocs
• Trouble shooting
• Data analysis
• Monitoring system usage and operational aspects from QA Business process perspective
• SAP QA Processes, System Functional & Configuration expertise areas:
• Batch Management
• QM Master Data
• Quality Notifications
• Inspection Planning
• Inspection Lot Processing
• Environmental Monitoring
• Supplier Quality Assurance

Key Requirements/Minimum Qualifications :

Experience:
• At least 5 years’ experience in SAP implementation and Operations with focus on SAP QM Module
• Proven experience in SAP ECC/S4HANA implementations, detailed process analysis and design, system architecture, technology standards, CSV, GXP and SOX requirements
• Proven experience in understanding of SAP functionality, related business processes and master data in the area of responsibility
• Proven ability to work in coordination with multiple internal/external stakeholders, partners spread across the Globe in multiple time zones
• Relocation assistance: yes
• Sponsorship available: no

Work Timings:
• General Shift: 11AM TO 8PM IST
• Location :Bangalore

Preferred Qualifications/Skills/Experience :

Minimum Qualifications:

Education
• University degree or adequate equivalent
• Bachelor degree in business/technical and SAP knowledge in Quality Management Module and QA process areas

Language

The ability to fluently read, write, understand and communicate in English

PHYSICAL REQUIREMENTS/WORK ENVIRONMENT :
• Willingness to travel for Project location site visits

Employment scams: Alcon is aware of employment scams which make false use of our company name or leader’s names to defraud job seekers. Alcon does not offer any positions without interview and never asks candidates for money. All our current job openings are displayed here on the Careers section of our website, where you can search for open positions and apply directly.

If you have encountered a job posting or been approached with a job offer that you suspect may be fraudulent, we strongly recommend you do not respond, send money or personal information, and check our website for current job openings.

Alcon is an Equal Opportunity Employer and takes pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, gender identity, marital status, disability, or any other reason",2, LinkedIn,Bengaluru, Karnataka,Full-time
Business Analyst - BI and Analytics,"Role
• Design solutions, program management, suggest operation improvements and stakeholder management in a cross-functional environment.
• Provide support in complex analytics and BI/ Analytics deployments.
• Documentation of business requirements, approach and technical specifications.
• Diagnostic review of data quality, existing processes and training of customer teams.
• Develop scripts for extraction, transformation, incremental loadings.
• Design and development of dashboards and insights.
• Publishing and scheduling reports.
• Increase adoption through feature updates, trainings and documentation.
• Present findings to senior management to demonstrate business impact.

Qualifications
• 0-3 years of experience.
• Strong problem solving and analytical abilities.
• Exposure in Excel, BI or reporting tools.
• Good communication and people management skills.
• Fluency in Microsoft Office suite (Outlook, Excel, Word, PowerPoint, etc.).
• Bachelor's degree or equivalent... experience.

Rockmetric focuses on Machine Learning, Business Intelligence, Big Data, and Artificial Intelligence. Their company has offices in Mumbai. They have a small team that's between 11-50 employees.

You can view their website at https://www.rockmetric.com/ or find them on Twitter, Facebook, and LinkedIn",0, AngelList,Anywhere,,Full-time
"Business Analyst - IT (Information Technology) - Bangalore, India","Responsibilities
• The main tasks will be the maintenance and development of SCD.
• Key services will be the 2nd level support of SCD that is functional customer care for clients and operating departments.
• Analyze and answer to the IT incidents/Service requests raised by the client or the business users.
• Communicate functional requirements to developers and demonstrate excellent communication skills.
• High reactivity, pro-activeness, and autonomy within the team, and should have the agile mindset.
Profile required

The senior Business Analyst will be responsible for Providing accurate and consistent delivery of agreed artifacts. Adheres to all agile practices, Ensure the coverage of end-to-end test scope. Upskill regularly on relevant topics. Work closely with the lead Analyst/Manager to meet the project scope. Prior experience in Financial markets and Simcorp Dimension is necessary.

Main Responsibilities
• The main tasks will be the maintenance and development of SCD.
• Key... services will be the 2nd level support of SCD that is functional customer care for clients and operating departments.
• Analyze and answer to the IT incidents/Service requests raised by the client or the business users.
• Communicate functional requirements to developers and demonstrate excellent communication skills.
• High reactivity, pro-activeness, and autonomy within the team, and should have the agile mindset.

Experience Requirements
• Require 3 – 8 years relevant experience in Simcorp Dimension and Financial markets (business analysis).
• Clear understanding of SCD Processing module – Asset Manager, Order Manager, Compliance Manager, Auxiliary jobs, SCD Extract, Transaction status, Broker Matching with CTM, Trade Matching, Fund service costs, Finance Schemes, Batch Job Groups, Funds STP, SWIFT MT’s, Fund events/Key figures, Withholding Tax procedures, General ledger/Sub ledger Accounts, Legal reporting, Regulatory Reporting -EMIR, Settlement configuration for CSDR, Omgeo CTM setup, FAP/FAM Accounting, DEX, DFS, IFRS, Instrument static data, Swift and Authorization of profiles.
• Experience in building and executing detailed Business Requirements Documents. Expertise in MS Office tools.
• Experience in working along with teams in different locations and coordinating amongst them.

Technical Skills - Mandatory
• SQL: Beginner, should know to write basic SQL queries.

Functional Skills - Mandatory
• Backoffice transactions like Trade processing, Broker matching, SWIFT generation, settlements, Corporate actions, Cash collateral, Reconciliation, Fees processing NAV calculation.
• Must have knowledge on entire Trade Life Cycle process.
• SCD knowledge
• Middle Office knowledge : Trade Manager, Netting Payment, Trade processing
• OTC products
• Implementation of new products

General Competencies
• Understand the basic functionality of the domain.
• Proven analytical and problem-solving skills.
• Clear and concise communication skills.
• Flexibility – Adaptability.
• Ability to make decisions
• Ability to work under pressure
• Teamwork
Why join us

We are committed to creating a diverse environment and are proud to be an equal opportunity employer. All qualified applicants receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status.
Business insight

At Société Générale, we are convinced that people are drivers of change, and that the world of tomorrow will be shaped by all their initiatives, from the smallest to the most ambitious.

Whether you’re joining us for a period of months, years or your entire career, together we can have a positive impact on the future. Creating, daring, innovating and taking action are part of our DNA.

If you too want to be directly involved, grow in a stimulating and caring environment, feel useful on a daily basis and develop or strengthen your expertise, you will feel right at home with us!

Still hesitating?

You should know that our employees can dedicate several days per year to solidarity actions during their working hours, including sponsoring people struggling with their orientation or professional integration, participating in the financial education of young apprentices and sharing their skills with charities. There are many ways to get involved",0, Société Générale,Bengaluru, Karnataka,Full-time
"Manhattan WMOS Business Analyst (Bangalore, India)","We are looking for Business Analysts with experience in Manhattan Associates WMOS Platform implementation and support cycles. You will be supporting our customers located in the US in configuring, testing and troubleshooting the WMOS business flows.

Required Skills:
• Bachelor’s degree or equivalent
• Good verbal and written communication skills are essential
• Strong critical thinking and problem-solving skills
• Experience working with overseas teams
• Hands-on working knowledge of Manhattan Active WMS platform
• Knowledge of Outbound Planning including Parcel Integration and Customer Requirements
• Ability to document Business requirements, and Test cases independently

Roles and Responsibilities:
• Gather and document Business requirements
• Configure all aspects of WMS software to meet business needs including Inbound, Outbound, and Inventory control modules
• Support project Implementation, Testing, Training, and Documentation
• Supports future system planning, forecast system... evolutions, enhancements, and upgrades
• Convert business requirements to test cases

Preferred skills:
• Strong fundamental knowledge of supply chain concepts with a primary focus on Warehouse Management
• Good Organizing and time management skills
• Experience in testing automation tools, performance testing tools",0, VCO Systems,Bengaluru, Karnataka,Full-time
Business Analyst,"With a startup spirit and 90,000+ curious and courageous minds, we have the expertise to go deep with the world's biggest brands-and we have fun doing it. Now, we're calling all you rule-breakers and risk-takers who see the world differently, and are bold enough to reinvent it. Come, transform with us. Inviting applications for the role of Business Analyst, Data Management & Reporting Responsibilities . Understand the communicated requirements and perform adhoc's testing and performing reconciliations on the developed report to ensure the accuracy of desired output. . Performing Program Reconciliation Reports and maintaining Audit artifacts . Working on process change requests on steady state reports with attention to reconciliation expectations and co-coordinating with different teams and PA's (Program administrators) to seek issues . Document preparation (SOP) for developed reports to share with team members and must be able to own the responsibilities assigned and manage/prioritize... them based on due dates and task demands. . Work on fixing any Errors/Fall out transactions before month end close and testing of movement of data between different servers. . Develop an understanding on available SQL scripts/stored procedures in the process and fine-tune them whenever necessary after coordinating with Onshore team. Qualifications we seek in you Minimum qualifications . Graduate in B.Tech , BCA . Any Graduates with experience on Testing Profiles and working with Insurance Industry Preferred Skill Set . Ability to write and understand SQL queries. Proficiency in SQL Server . Proficient in Advance Excel and MS Access with some VBA knowledge. . Domain Knowledge - Should have significant knowledge of working in NAS/US Insurance Industry . Exposure to Finance, Actuarial or Claims which general focus on report creation, testing and review. . Excellent interpersonal skills with analytical mind set Genpact is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, religion or belief, sex, age, national origin, citizenship status, marital status, military/veteran status, genetic information, sexual orientation, gender identity, physical or mental disability or any other characteristic protected by applicable laws. Genpact is committed to creating a dynamic work environment that values diversity and inclusion, respect and integrity, customer focus, and innovation. For more information, visit www.genpact.com. Follow us on Twitter, Facebook, LinkedIn, and YouTube",5, Www.foundit.in,Gurugram, Haryana,Full-time
Business Analyst,"Responsibilities:
• Use statistical methods to analyze data and generate useful business reports
• Work with management team to create a prioritized list of needs for each business segment
• Identify and recommend new ways to save money by streamlining business processes
• Use data to create models that depict trends in the customer base and the consumer population as a whole
• Work with departmental managers to outline the specific data needs for each business method analysis project

Requirements:
• Bachelor's Degree in Mathematics or Computer Engineering from a Premium Institute.
• 2-4 years experience in a data analyst role.
• Strong programming knowledge in Python/R/SQL.
• Ability to collaborate effectively and work as part of a team.
• Good communication skills.",0, Instahyre,Mumbai, Maharashtra,Full-time
Sr. Business Analyst,"About ESSENWARE

To ensure successful initiation, planning, execution, control and completion of the project by guiding team members on technical aspects, conducting reviews of technical documents and artefacts. Lead project development, production support and maintenance activities. Fill and ensure timesheets are completed, as is the invoicing process, on or before the deadline. Lead the customer interface for the project on an everyday basis, proactively addressing any issues before they are escalated. Create functional and technical specification documents. Track open tickets/ incidents in queue and allocate tickets to resources and ensure that the tickets are closed within the deadlines. Ensure analysts adhere to SLA s/KPI s/OLA s. Ensure that all in the delivery team, including self, are constantly thinking of ways to do things faster, better or in a more economic manner. Lead and ensure project is in compliance with Software Quality Processes and within timelines. Review... functional and technical s",3, LinkedIn,Hyderabad, Telangana,Full-time
Business Analyst - Technical Consulting,"Functional Excellence Business Analyst is responsible for identifying and documenting the business needs of their clients and stakeholders, and helping to determine feasible solutions to meet business needs or resolve business problems. This position will give you the opportunity to grow to become an active thought partner and solution visionary who shapes the technology demand and direction in the business community.

This position has the following accountabilities:
• Precisely capture business problems, value drivers, and functional/non-functional requirements, including health, safety, security, usability, data, and supportability considerations.
• Translate business requirements into functionality and assess the risks, feasibility, opportunities, and business impacts of various solution options.
• Assess and model processes, data flows, and technology to understand the current value and issues, and identify opportunities for improvement.
• Create clear documentation to... communicate requirements and related information; keep updated to align with the solution over the project lifecycle.
• Interact with software suppliers, designers and developers to understand software limitations, deliver elements of system and database design, and ensure that business requirements and use cases are handled.
• Create and present compelling business cases to justify solution value and establish approval, funding and prioritization.
• Initiate, plan, execute, monitor, and control Business Analysis activities on projects within agreed parameters of cost, time and quality.
• Understand and stay abreast of relevant architectures and technologies related to a business area. Research potential solutions and innovative ideas. Guide and manage interactions with technology vendors.
• Support stakeholder management activities including facilitation of large design sessions.
• Certifications onboarding by working with external suppliers, build and strengthen capability framework, partner with external suppliers for niche skilling needs e.g. Salesforce, AWS etc.

Special Challenges:
• Respond to organizational and environmental changes during in-progress activities.
• Dynamic and cross functional capabilities in business analysis with spread out BA community in Shell IDT
• Complex data analysis to drive insights for strategic decision making
• Technology thought leadership - strong inclination towards technology and how it applies to business analysis and future of work
• create synergies b/w teams working towards capability building

Role requires strong technology understanding, ability to distill thoughts and laying starting points grounding tech disruption and impacts to DE.

Successful candidates will have the following key attributes -
• At least 5 to 10 years overall working experience
• A passion for Technology, Innovation, and experimentation
• Experience with Technology such as microservices, AI, blockchain, Azure Devops
• Experience with data analysis, data visualization, data modelling
• Ability to design capability strategy and execute
• Understanding of the powering progress, and IDT strategy
• Value driven actions – fail fast attitude
• A self-starter with an infectious enthusiasm and drive to overcome challenges and keep pushing through barriers.
• An excellent team player.
• Excellent analytical skills, able to organize and plan independently.
• Strong communication, influencing and people skills.
• High standards of professionalism.

A personal interest and passion for delivering Excellence Provide Leadership in technology, business domains, industry, and market trends.

The candidate must be fluent in English and have excellent communication and influencing skills and an ability to forge a strong global network. The candidate must possess strong technology understanding, and extraordinary view of how and where the industry is heading towards",5, Shell Careers,Bengaluru, Karnataka,Full-time
Business Analyst,"Join us as a Business Analyst
• This is an opportunity for a driven Business Analyst to join us and make a tangible impact on our function
• You’ll review and assess input collated for producing business requirements to inform future state design, as you support teams to understand and link the requirements to the overall domain strategy
• It’s a chance to develop your skills as you research, understand and keep up to date with industry thinking, best practice, technology and customer trends
• This role is available at associate level

What you'll do

You’ll support the bank to achieve customer advocacy by eliciting and understanding the internal and external technology customer needs, and analysing, refining, synthesising, translating and ensuring they are documented in a form that can be readily understood by all stakeholders.

We’ll look to you to work across teams and stakeholders to capture, validate and document business and system requirements, making sure they are in line with... key strategic principles, and translated from business operations, business objectives, or from external requirements.

You’ll also:
• Interact with customers, key stakeholders and the team to obtain and document functional and non-functional needs
• Support the team to analyse business requirements and technical specifications to see how they can be developed into small testable and releasable elements
• Elicit and input into writing business requirements, user stories and epics as required using relevant techniques
• Support the feature team in creating and executing test scenarios and test scripts, identifying and supporting cut-over and implementation tasks
• Facilitate user acceptance testing as well as supporting platform and feature teams in executing the user acceptance testing

The skills you'll need

To take on this role, you’ll need an appropriate business analyst certification such as BAX, CPRE or CBAP.

You’ll also need:
• Proven application of business analysis tools and techniques
• A good understanding of Agile values, principles and methodologies with experience of working within an Agile environment
• Excellent communication skills with the ability to communicate complex technical concepts clearly to your peers and management level colleagues
• Good collaboration and stakeholder management skills",6, NatWest Group Careers,Chennai, Tamil Nadu,Part-time
Business Analyst,"A role with HighRadius as a Data Analytics is a chance to help develop our in-house strength for getting the maximum value from existing TAM data assets. We positively impact changes across various initiatives, processes and interdependencies that require exceptional data collection, pattern finding, modeling, measurement and analysis - ultimately leading to quicker and more meaningful decision-making at HighRadius. As a part of an email marketing team, we expect you to be up-to-date with the latest digital technologies and social media trends. You should have excellent communication skills and be able to express our company's views creatively. Responsibilities - A minimum of 2 years Specific Experience: . Data analysis & reporting skills . Demonstrated expertise in an area of Project Management . Ability to work with and coordinate cross-functional efforts . Analytical and critical thinking skills . Exceptional communication and organizational skills . Demonstrated ability to work on... multiple projects at the same time, simultaneously managing working team and partner relationships . Champion One Team attitude . Segmentation of customers based on differing response patterns of our TAM. . Design and implementation of new dashboards for business users Responsibilities are: . Work with stakeholders to understand their business needs and identify opportunities for analysis insight to inform their decision-making . Understand and report to your team and senior management on business performance . Ensure delivery of regular reports on time and without error . Self-manage delivery of analytical projects . Defining the business problem . Determining the analytical approach . Efficiently extract relevant data . Appropriately use statistical and data analysis techniques . Sharing your findings using impactful data visualizations and efficient communication . Balance multiple priorities, updating stakeholders on progress and expected delivery. Desired Requirements: . Experience with Item attribution, Item tools & systems, master data . Possesses operational and technical aptitude and ability to interface with technical teams . Knowledge of email marketing platforms (like HubSpot, Pardot, and other spaces.) . Bachelor's/ Master's degree",3, Www.foundit.in,Bengaluru, Karnataka,Full-time
Business Analyst,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

CT Technology Business Analysis - Assistant Director TR

Fueled by strategic investment in technology and innovation, Client Technology seeks to drive growth opportunities and solve complex business problems for our clients through building a robust platform for business and powerful product engine that are integral to innovation at scale. You will work with technologists and business specialists, blending EY’s deep industry knowledge and innovative ideas with our platforms, capabilities, and technical expertise. As a champion for change and growth, you will be at the forefront of integrating emerging technologies from AI to Data... Analytics into every corner of what we do at EY. That means more growth for you, exciting learning opportunities, career choices, and the chance to make a real impact.

The opportunity

Business Analysts will apply analytical knowledge areas and in-depth analysis of the business to uncover its true problems, understand its objectives, define the relevant requirements, business rules and identify design elements to support the application functions. Business Analysts have strong problem-solving skills and interact regularly with various professionals to generate value for the business. Business Analysts have several key touch points through the product lifecycle and will ensure that the solution will enable the business to achieve its objectives.

Your Key Responsibilities
• Lead the effort to plan, scope, gather, understand and analyze business requirements, and translates business requirements into functional and non-functional requirements
• Apply business analysis knowledge areas and creativity to drive requirements work effort ranging from planning, elaboration, analysis, validation to communication through the different stages of the requirements lifecycle
• Strong analytical capabilities to decompose sophisticated business models, specify critical functions and identify inter-dependencies for design considerations
• Lead the effort to engage with business and technology partners to clarify application functions, processes and data flow to align business and technology capabilities or constraints
• Integrate the solution into the business workstreams, which may include the provision of enablement materials and training agenda to facilitate adoption and integration of the product and processes into the business cycle
• Verify, through different testing practices (ex. UAT), that the solutions meet the functional specifications and resolve specified business problems
• Have awareness of technology components and their relevancy to the functional modules, especially their advantages in advancing business position and improving user journey
• Continuously advance the proficiency of business analysis and apply industry standard methodologies to promote forward thinking on the analysis of changing business models and knowledge sharing across other domains

Skills And Attributes For Success
• Ability to plan, implement and apply business analysis knowledge areas to scope work effort and capture business requirements for further analysis, and help to prioritize features to produce required business outcomes
• Experienced in developing technical requirements and specifications, including knowledge of software development methodologies and reporting tools
• Good interpersonal and communication skill (written and verbal)- able to identify, articulate and present business situation, options and benefits
• Familiar with value propositions incorporating broader enterprise view of the business operations, encompassing functional analysis, workflow analysis, impact analysis (organization, cost) and risk analysis
• Experience in conducting functional walkthroughs and addressing FAQs to integrate solution into business activities
• Ability to engage and collaborate in diverse settings of people
• A sense of urgency, decisiveness, and ability to work well under pressure
• Ability to listen and to think independently, and be a curious and creative person
• Understanding of industry based Business Process Modelling notation
• Broad understanding of IT Services, including service offerings, technical standards and policies, technical and business strategies

To qualify for the role, you must have
• Bachelor's degree in Business Administration, Business Management, Computer Science, Engineering or related field preferred
• Minimum 8-10 years of experience with significant role interacting with business and technology leaders to define business operations, workflows and technology solutions
• Direct experience and accountability in the functional architecture of products, product portfolios or solution accelerator with at least $3m of investment, $1m if using leading cutting edge innovative technologies
• Have domain knowledge of one or more industries or sectors, with broad knowledge of current as well as emerging technologies
• Have experience in Agile framework participating directly in Agile practices and producing common artifacts
• Understand product development and delivery framework especially Agile framework, DevOps practices and micro services
• Significant relevant experience in either an internal or external business analysis role, or similar
• Significant technical knowledge and experience in delivering IT solutions, providing comprehensive technical advice and understanding user requirements
• Experience supplying to the formulation of business vision and strategy
• Strong partner management experience

What We Look For
• A self-starter, independent-thinker, curious and creative person with ambition and passion

What We Offer

As part of this role, you'll work in a highly coordinated, globally complementary team with the opportunity and tools to grow, develop and drive your career forward. Here, you can combine global opportunity with flexible working. The EY benefits package goes above and beyond too, focusing on your physical, emotional, financial and social well-being. Your recruiter can talk about the benefits available in your country. Here’s a snapshot of what we offer:
• Continuous learning: Developing the attitude and skills to navigate whatever comes next.
• Success: We will provide the tools and flexibility, so you can make a significant impact, your way.
• Transformative leadership: We will give the insights, mentor and confidence to be the leader the world needs.
• Diverse and inclusive culture: Acceptance for who you are and empowered to use your voice to help others find theirs.

EY | Building a better working world

EY exists to build a better working world, helping to create long-term value for clients, people and society and build trust in the capital markets.

Enabled by data and technology, diverse EY teams in over 150 countries provide trust through assurance and help clients grow, transform and operate.

Working across assurance, consulting, law, strategy, tax and transactions, EY teams ask better questions to find new answers for the complex issues facing our world today",27, Able Jobs,Kochi, Kerala,Full-time
Principle Business Analyst,"Job Description

300+ randomized trial in Novartis are supported by randomization office, who is in the key position to support the clinical trials to transform clinical data into analyses while maintaining the quality and following the compliance. Influence decision-making in cross-functional teams in trial design, trial operation and develop the analysis result

Your responsibilities include, but are not limited to:
• As Business System Owner participates in interdisciplinary team of functional SMEs and end-consumers to independently assess opportunities for simplification of technology landscape as well as new external opportunities
• Drive user-centricity in our approach to developing solutions by embracing design thinking methodologies and collaborating with User Experience experts
• Through Voice of Business and surveys leverage customer insights and a deep understanding of the technology product to forecast, plan, and manage the customer needs for future enhancement/issue... resolution
• Monitors performance of Technology Product and pro-actively identifies systemic risks & issues and appropriate corrective and preventive actions
• Keep track on successful and timely closure of CAPAs relating to Technology Product arising from inspections and audits
• Represents product/system in audits and inspections
• Oversight of performance of technology product and defines continuous improvement plans in collaboration with relevant TT teams
• Ensuring technology product is in compliance with GxP and Novartis CSV and Quality standards. Hosting Voice of Business forum and SteerCo for technology product

Commitment to Diversity & Inclusion:

Novartis is committed to building an outstanding, inclusive work environment and diverse teams representative of the patients and communities we serve.

Minimum Requirements
• Minimum 5 years relevant clinical trial operations experience, from technology or health care sector. Broad understanding of drug development – early development, clinical trials, safety, data management, etc.
• Strategic thinker with proven track record in translating business needs into clearly defined technology product implementation roadmaps
• Demonstrated success in defining and executing high-impact technology and innovation road maps
• Proven track record in performing key role of large x-functional initiatives with focus on business benefit realization and fast business adoption. Ability to influence without authority and successfully manage senior level stakeholders
• Excellent oral/written communication skills - allowing effective interactions with all levels of the organization; able to present information confidently and effectively to leadership, peers and team
• Prior exposure to or demonstrated use of design thinking methodologies is desirable
• Strong collaboration skills are essential, including ability to work in multidisciplinary teams. Excellent negotiation and conflict resolution skills. Strong interpersonal skills

WHY NOVARTIS

769 million lives were touched by Novartis medicines in 2020, and while we’re proud of this, we know there is so much more we could do to help improve and extend people’s lives.

We believe new insights, perspectives and ground-breaking solutions can be found at the intersection of medical science and digital innovation. That a diverse, equitable and inclusive environment inspires new ways of working.

We believe our potential can thrive and grow in an unbossed culture underpinned by integrity, curiosity and flexibility. And we can reinvent what's possible, when we collaborate with courage to aggressively and ambitiously tackle the world’s toughest medical challenges. Because the greatest risk in life, is the risk of never trying! Imagine what you could do here at Novartis!

Commitment to Diversity & Inclusion:

Novartis is committed to building an outstanding, inclusive work environment and diverse team’s representative of the patients and communities we serve.

Join our Novartis Network : If this role is not suitable to your experience or career goals but you wish to stay connected to hear more about Novartis and our career opportunities, join the Novartis Network here: https://talentnetwork.novartis.com/network

Division

Global Drug Development

Business Unit

GDO GDD

Country

India

Work Location

Hyderabad, AP

Company/Legal Entity

Nov Hltcr Shared Services Ind

Functional Area

Research & Development

Job Type

Full Time

Employment Type

Regular

Shift Work

No

Early Talent

No",5, LinkedIn,Hyderabad, Telangana,Full-time
SharePoint Business Analyst,"Description: Work Address India Experience ( Relevant) 5 years Top 3 skills which is mandatory SharePoint experience Office 365 SP Online experience Power Platform experience Shift Timings 6 am - 3 pm EST POSITION OVERVIEW : Required Skills SharePoint experienceminimum 5 years Office 365 SP Online experience minimum 3 years Power Platform experience minimum 2 years Preferred prior experience with Migration projects Good communication and written skills Highly collaborative team player with few overlap hours with the US CST time-zone POSITION GENERAL DUTIES AND TASKS : The role of the SharePoint Business Analyst is to understand what acquired business does, and how it operates. Examine existing business processes and map them to the appropriate Client business process where applicable. Works with the Technical PM and Solution architect to capture technical and business requirements. Performs post-migration validation and works with the business on post-migration issues to resolution... Responsibilities Gathering and documenting business requirements understanding the clientbusiness needs, and traceability of Delivery outcomes to the Business requirements. Good experience with SharePoint OOTB(meaning with no customization, just adding web parts, columns, views, 3rd party web parts or apps, etc.) in classic and modern SharePoint sites. Good experience with SharePoint low-codesolutions (i.e., SharePoint Designer, Master Pages/Page Layouts, InfoPath) Sound understanding of when custom code is needed. Experienced Quality Assurance analyst with a focus on user experience. Experienced in technical documentation/ user guides/ email drafts Ability to offer solutions for migration projects schedules, including analyzing workload inventory, licensing provisioning, applicationsmigration, comparing reports, metadata mapping and import, custom sitesmigration, and fixes,and further assist with configuration support in migration of Office 365 workloads and non-Office 365 workloadsto ClientOffice 365 tenant. Experience with migrations tools like Metalogix, Sharegate, BitTitan Prepare site owners for what to expect during the migration and identify pre and post-migration activities to be performed by site owners Coordinate between stakeholders during the migration phases and help achieve project outcomes",1, Www.foundit.in,Secunderabad, Telangana,Full-time
Principle Business Analyst,"Job Description

300+ randomized trial in Novartis are supported by randomization office, who is in the key position to support the clinical trials to transform clinical data into analyses while maintaining the quality and following the compliance. Influence decision-making in cross-functional teams in trial design, trial operation and develop the analysis result

Your responsibilities include, but are not limited to:
• As Business System Owner participates in interdisciplinary team of functional SMEs and end-consumers to independently assess opportunities for simplification of technology landscape as well as new external opportunities
• Drive user-centricity in our approach to developing solutions by embracing design thinking methodologies and collaborating with User Experience experts
• Through Voice of Business and surveys leverage customer insights and a deep understanding of the technology product to forecast, plan, and manage the customer needs for future enhancement/issue... resolution
• Monitors performance of Technology Product and pro-actively identifies systemic risks & issues and appropriate corrective and preventive actions
• Keep track on successful and timely closure of CAPAs relating to Technology Product arising from inspections and audits
• Represents product/system in audits and inspections
• Oversight of performance of technology product and defines continuous improvement plans in collaboration with relevant TT teams
• Ensuring technology product is in compliance with GxP and Novartis CSV and Quality standards. Hosting Voice of Business forum and SteerCo for technology product

Commitment to Diversity & Inclusion:

Novartis is committed to building an outstanding, inclusive work environment and diverse teams representative of the patients and communities we serve.

Minimum Requirements
• Minimum 5 years relevant clinical trial operations experience, from technology or health care sector. Broad understanding of drug development – early development, clinical trials, safety, data management, etc.
• Strategic thinker with proven track record in translating business needs into clearly defined technology product implementation roadmaps
• Demonstrated success in defining and executing high-impact technology and innovation road maps
• Proven track record in performing key role of large x-functional initiatives with focus on business benefit realization and fast business adoption. Ability to influence without authority and successfully manage senior level stakeholders
• Excellent oral/written communication skills - allowing effective interactions with all levels of the organization; able to present information confidently and effectively to leadership, peers and team
• Prior exposure to or demonstrated use of design thinking methodologies is desirable
• Strong collaboration skills are essential, including ability to work in multidisciplinary teams. Excellent negotiation and conflict resolution skills. Strong interpersonal skills

WHY NOVARTIS

769 million lives were touched by Novartis medicines in 2020, and while we’re proud of this, we know there is so much more we could do to help improve and extend people’s lives.

We believe new insights, perspectives and ground-breaking solutions can be found at the intersection of medical science and digital innovation. That a diverse, equitable and inclusive environment inspires new ways of working.

We believe our potential can thrive and grow in an unbossed culture underpinned by integrity, curiosity and flexibility. And we can reinvent what's possible, when we collaborate with courage to aggressively and ambitiously tackle the world’s toughest medical challenges. Because the greatest risk in life, is the risk of never trying! Imagine what you could do here at Novartis!

Commitment to Diversity & Inclusion:

Novartis is committed to building an outstanding, inclusive work environment and diverse team’s representative of the patients and communities we serve.

Join our Novartis Network : If this role is not suitable to your experience or career goals but you wish to stay connected to hear more about Novartis and our career opportunities, join the Novartis Network here: https://talentnetwork.novartis.com/network

Division

Global Drug Development

Business Unit

GDO GDD

Country

India

Work Location

Hyderabad, AP

Company/Legal Entity

Nov Hltcr Shared Services Ind

Functional Area

Research & Development

Job Type

Full Time

Employment Type

Regular

Shift Work

No

Early Talent

No",5, LinkedIn,Hyderabad, Telangana,Full-time
